AA,UA,NK,DL,F9,AS,B6,VX,HA,OO,EV,WN
LAX,SFO,LAS,LAX,LAX,ANC,SFO,LAS,LAS,EUG,DSM,ISP
PHX,SEA,MSP,SEA,LAS,SEA,SJU,LAX,HNL,MSP,GRB,PVD
SFO,LAX,PHX,ANC,PHL,FAI,BQN,SFO,OGG,ACV,CLE,LAX
SEA,SJU,BQN,ORD,MSP,GEG,JFK,SEA,KOA,ICT,ATW,MHT
LAS,BQN,BOS,BOS,TTN,ORD,BOS,DAL,LIH,ONT,SHV,DTW
SLC,ORD,ORD,PHX,SFO,PHX,MCO,SAN,ITO,RNO,MSN,ONT
ANC,TPA,PHL,MSN,CVG,LAX,SYR,JFK,OAK,MFR,PIA,IND
PDX,PDX,DTW,SLC,DEN,OAK,BUF,IAD,SJC,MKE,MHT,DAL
MCO,MCO,PDX,MCO,IAH,SLC,ROC,EWR,SMF,CRP,GPT,SFO
BOS,SLC,ACY,LGA,DFW,PSP,BTV,FLL,LAX,BIL,PVD,BDL
ORD,SMF,BWI,PDX,MCO,SAN,PWM,DCA,PHX,SBA,PWM,PIT
PHL,BWI,DFW,SFO,ORD,MSP,EWR,LGA,SFO,MRY,EVV,ABQ
DFW,OMA,OAK,OAK,CLE,SJC,PBI,HNL,SEA,GEG,CHS,CHS
MSP,GEG,LAX,BWI,STL,PDX,FLL,ORD,JFK,BFL,CHA,MDW
DEN,IAD,RSW,RNO,PBI,SMF,TPA,AUS,SAN,RDM,LEX,BWI
SAT,RSW,IAH,SAN,TPA,SFO,JAX,MCO,PDX,SMF,MEM,SAT
EWR,DCA,LGA,CMH,RDU,LAS,MSY,BOS,,PSC,VPS,SEA
AUS,MIA,FLL,DEN,DCA,BUR,DCA,PSP,,ABQ,MLU,PDX
IAH,BOS,MSY,MIA,RSW,SNA,LGA,OGG,,MTJ,ECP,SAN
MCI,LAS,MCI,BIS,MIA,DEN,AUS,PDX,,PDX,XNA,LAS
JFK,AUS,DEN,BIL,PHX,EWR,RSW,DEN,,FAT,ELM,AUS
IND,DFW,TPA,IND,SNA,BOS,DTW,ONT,,LAS,PNS,FLL
FLL,MSY,CLE,OMA,AUS,JFK,RIC,,,CPR,TYS,DCA
LGA,SAT,MYR,JFK,MKE,JNU,BDL,,,MCI,MSY,SJU
DCA,FLL,SAN,FLL,DSM,BWI,LAX,,,GCC,SAV,STL
CLE,EWR,LBE,PHL,IAD,DFW,RDU,,,ISN,TVC,MCO
MSY,RNO,MCO,SMF,MCI,DCA,PVD,,,COS,LIT,MKE
OMA,PBI,PBI,MSP,SLC,HNL,HPN,,,OKC,STL,LIT
TUL,BDL,SJU,JNU,IND,KTN,IAD,,,SJC,ORF,GEG
DTW,IND,STT,LAS,DTW,ONT,PIT,,,ORD,HPN,MSY
MIA,PSP,SEA,MSO,GSO,OGG,ORD,,,DRO,JAN,CLE
RDU,DEN,EWR,GRR,BNA,SIT,SMF,,,MOT,BTR,CMH
BWI,SAN,CAK,DTW,OMA,LIH,PDX,,,PHX,AZO,PHL
RNO,DSM,,DFW,LGA,KOA,LGB,,,BNA,EWR,OAK
FAT,ALB,,AUS,MSY,TUS,PHL,,,BOI,ABE,SMF
PVD,PHL,,RSW,MSN,ABQ,BWI,,,MSO,GSP,PNS
ONT,RDU,,IAH,PDX,DTW,STT,,,SAN,CRP,DEN
IAD,BTV,,MSY,SEA,BNA,CLE,,,TUS,ROC,ALB
BNA,BOI,,STL,SAN,MCO,SAV,,,DFW,ORD,MCI
PBI,SNA,,HNL,CLT,PHL,CHS,,,SBP,RIC,SLC
STL,PHX,,CVG,BZN,IAH,LAS,,,DLH,GRK,SJC
SJU,HNL,,SJU,FLL,CHS,SEA,,,BIS,DCA,BHM
MFE,CLE,,PBI,MEM,RDU,CLT,,,SLC,GSO,TPA
OAK,BZN,,TPA,FSD,TPA,DEN,,,SAT,CAK,BNA
BDL,PIT,,EWR,TYS,AUS,HOU,,,CVG,IAH,TUS
JAX,IAH,,SNA,BIS,SAT,DFW,,,LAX,BUF,IAD
CMH,DTW,,DCA,CID,FLL,SAN,,,GRB,OKC,LGA
SMF,MEM,,ABQ,MSO,MSY,SLC,,,PSP,JAX,CLT
CLT,JAC,,MCI,COS,IAD,ALB,,,SBN,SDF,ELP
PIT,LGA,,BZN,SAT,STL,OAK,,,CHO,LBB,TUL
PSP,CMH,,FAR,CMH,MCI,SRQ,,,FWA,CAE,BUF
TUS,SJC,,BDL,PIT,OMA,SJC,,,SNA,MOB,HOU
BUF,CLT,,ONT,,,BUR,,,AUS,LNK,FNT
SJC,MSN,,GEG,,,PHX,,,RAP,SPI,BOS
SAN,MSP,,JAC,,,RNO,,,SFO,SYR,PBI
RSW,OKC,,JAX,,,ABQ,,,CHS,BNA,PHX
ELP,ORF,,BOI,,,STX,,,MEM,DFW,ROC
BOI,MCI,,OGG,,,PSP,,,FCA,DTW,RDU
SNA,SRQ,,STT,,,ANC,,,BUR,ELP,CAK
RIC,OGG,,TUS,,,BNA,,,STL,BTV,DAY
MKE,EGE,,SRQ,,,,,,ASE,MFE,SNA
ORF,KOA,,CLT,,,,,,GTF,BHM,SDF
TPA,BIL,,PIT,,,,,,LGB,CLT,GRR
COS,STT,,BNA,,,,,,IAH,LGA,OKC
ALB,LIH,,RDU,,,,,,HLN,RDU,MSP
MEM,TUS,,KOA,,,,,,IDA,MKE,MEM
ABQ,MTJ,,LIH,,,,,,SEA,IND,JAX
ROC,ANC,,SAT,,,,,,CLT,MSP,ECP
EGE,ROC,,MEM,,,,,,DAY,HOU,RSW
PWM,STL,,ALB,,,,,,YUM,ACT,RNO
DSM,ITO,,SJC,,,,,,DEN,SAF,EWR
SYR,MFE,,ROC,,,,,,TWF,LAW,BUR
HNL,RIC,,BUF,,,,,,SGU,TUL,AMA
OKC,ICT,,FSD,,,,,,FLG,BOS,LBB
GEG,FSD,,MKE,,,,,,SUN,MLI,BOI
STT,BUF,,PSP,,,,,,GJT,LFT,DSM
STX,ABQ,,CHS,,,,,,RDU,LRD,HRL
DAY,BNA,,PSC,,,,,,DTW,DAY,ORF
MTJ,GRR,,FCA,,,,,,LBB,HRL,OMA
JAC,TUL,,CLE,,,,,,BTR,CVG,MAF
OGG,CHS,,PVD,,,,,,SGF,MDW,PWM
KOA,BTR,,ATW,,,,,,XNA,BRO,CRP
SDF,JAX,,PWM,,,,,,FAR,ICT,ICT
LIH,SDF,,IAD,,,,,,TUL,OMA,RIC
MDT,MDT,,ORF,,,,,,DSM,GRR,GSP
ICT,PVD,,SAV,,,,,,MBS,GJT,LGB
CHS,EUG,,MDW,,,,,,IAD,CLL,
GSO,FAI,,GRB,,,,,,LAN,AMA,
LBB,MYR,,RIC,,,,,,AZO,SBN,
BHM,MSO,,DLH,,,,,,CMH,MCI,
HOU,SAV,,TVC,,,,,,GRR,BWI,
SAV,PWM,,CAK,,,,,,SPI,CID,
XNA,ONT,,SYR,,,,,,GFK,PHL,
PNS,MKE,,MDT,,,,,,ALB,HSV,
AMA,CVG,,FAI,,,,,,BZN,MAF,
CRP,,,SDF,,,,,,DCA,AEX,
,,,MYR,,,,,,JAC,LCH,
,,,LEX,,,,,,CID,ISN,
,,,XNA,,,,,,BHM,FSD,
,,,RAP,,,,,,MSN,FAR,
,,,LGB,,,,,,OMA,FNT,
,,,OKC,,,,,,MAF,LAN,
,,,DSM,,,,,,LIT,ALB,
,,,MHT,,,,,,ELP,TUS,
,,,BHM,,,,,,SHV,CMH,
,,,HSV,,,,,,MDW,AVP,
,,,GSO,,,,,,PIA,MDT,
,,,SBN,,,,,,OAK,BDL,
,,,GSP,,,,,,IND,MCO,
,,,,,,,,,ATW,SAT,
,,,,,,,,,MSY,PIT,
,,,,,,,,,LEX,AUS,
,,,,,,,,,BDL,COS,
,,,,,,,,,LNK,ABQ,
,,,,,,,,,FSD,RAP,
,,,,,,,,,PIT,SGF,
,,,,,,,,,AVL,IAD,
,,,,,,,,,BOS,AVL,
,,,,,,,,,BUF,CHO,
,,,,,,,,,CLE,BIS,
,,,,,,,,,SDF,PBI,
,,,,,,,,,RSW,MTJ,
,,,,,,,,,LGA,MBS,
,,,,,,,,,VPS,RSW,
,,,,,,,,,LFT,MIA,
,,,,,,,,,GSP,PHX,
,,,,,,,,,TYS,SLC,
,,,,,,,,,PVD,MYR,
,,,,,,,,,AMA,DRO,
,,,,,,,,,MFE,BIL,
,,,,,,,,,MLI,FWA,
,,,,,,,,,GSO,FLL,
,,,,,,,,,SYR,MOT,
,,,,,,,,,TVC,,
,,,,,,,,,JAX,,
,,,,,,,,,ORF,,
,,,,,,,,,PHL,,
,,,,,,,,,MIA,,
,,,,,,,,,RIC,,
,,,,,,,,,FNT,,
,,,,,,,,,CAK,,
,,,,,,,,,BRO,,
,,,,,,,,,ROC,,
,,,,,,,,,PBI,,
,,,,,,,,,EGE,,
,,,,,,,,,PNS,,
,,,,,,,,,SAV,,
,,,,,,,,,AVP,,
,,,,,,,,,CHA,,
,,,,,,,,,CAE,,
,,,,,,,,,EVV,,
,,,,,,,,,ABE,,
,,,,,,,,,HRL,,
,,,,,,,,,BWI,,
,,,,,,,,,MOB,,
,,,,,,,,,EWR,,
,,,,,,,,,KTN,,
,,,,,,,,,SIT,,
,,,,,,,,,MDT,,
,,,,,,,,,HSV,,
,,,,,,,,,PWM,,
,,,,,,,,,ACT,,
,,,,,,,,,MHT,,
,,,,,,,,,SAF,,
